,Network,Biome
103,Florida Bay - wet season,Marine
104,Santa Pola Bay (2001),Coast
105,"Tropical plankton community, Pacific",Marine
106,Upper Chesapeake Bay,Coast
107,Barnegat Bay (1981),Coast
108,Prince William Sound (1994),Marine
109,Central Gulf of California (1978),Gulf
110,"Ythan estuary, Aberdeenshire, Scotland",River
111,Irish Sea (1973),Marine
112,Jurien Bay (2007),Coast
113,Northern British Columbia (2000),Marine
114,North Benguela (1990),Marine
115,Mount St Michel Bay (2003),Coast
116,Azores archipelago (1997),Marine
117,Azores (1997),Marine
118,Mauritanie  (1991),Marine
119,Huizache-Caimanero (1984),Marine
120,Northern British Columbia (1950),Marine
121,"USA, Mid Atlantic Bight (1995)",Marine
122,Northern Humboldt Current (1997),Marine
123,South Benguela (1978),Marine
124,Sørfjord (1993),Coast
125,Sierra Leone (1990),Marine
126,Raja Ampat (1990),Marine
127,Mangrove Estuary - Wet Season,Marine
128,Apalachicola Bay (2000),Coast
129,South of Benguela (1960),Marine
130,Morocco (1985),Marine
131,"Tasek Bera swamp, Malaysia",Swap
132,Northern Californian Current (1960),Marine
133,Port Phillip Bay (1994),Coast
134,"River Rheido, Wales",River
135,Mauritania (1998),Marine
136,"Galapagos, Floreana rocky reef (2000)",Marine
137,Everglades Graminoids,Swap
138,South East Alaska (1963),Marine
139,"Swamp, south Florida",Swap
140,Sonda_Campeche_Act (1988),Marine
141,"Salt meadow, New Zealand",Swap
142,Celtic Sea (1980),Marine
143,North Atlantic (1997),Marine
144,Crystal River Creek - Delta Temp,River
145,South Benguela (1600),Marine
146,Western Tropical Pacific Ocean (1990),Marine
147,North East Pacific (1950),Marine
148,West Scotland (2000),Marine
149,Western Channel (1993),Marine
150,Gulf of Carpentaria (1990),Gulf
151,North Benguela (1967),Marine
152,Ningaloo (2007),Marine
153,Bay of Biscay (1980),Coast
154,Peru (1953),Marine
155,Guinea  (2004),Marine
156,Arctic seas,Marine
157,South western Gulf of Mexico (1970),Gulf
158,North Benguela (1600),Marine
159,Cap de Creus MPA - whole (2008),Marine
160,Celtic Sea-Biscay (2012),Marine
161,British Columbia coast (1950),Coast
162,"Tagus estuary, Portugal ",River
163,"Rocky shore, Monterey Bay, California",Coast
164,Guinea (1985),Marine
165,Bolinao Coral Reef (1980),Marine
166,Guinea (1998),Marine
167,Northern Californian Current (1990),Marine
168,Peru (1973),Marine
169,Yucatan (1987),Marine
170,South Benguela (1900),Marine
171,Lesser Antilles (2001),Marine
172,Charca de Maspalomas,River
